title,cluster,description,keywords
KCMAC 2006A Notice of Redemption and Defeasance Part II EA710883- EA558294- EA954454,9,KCMAC Series 2006A Notice of Redemption and Defeasance 2006A Part II,"notice, redemption, notice, defeasance, b, water"
Satisfaction With Bike Infrastructure,3,This is from the midyear 2014 citizen satisfaction survey which asks citizens how satisfied they are with on street bike infrastructure. There were 1654 responses to this question. Don't knows are not included in the respondent count or chart. There were 319 respondents who did chose not to answer this question.,"downgrade, lists, april, presentation, public, group"
"KCMAC 2004B-2 Notice of Defeasance and Redemption, part II EA711642- EA558876- EA955024",9,"KCMAC 2004B-2 Notice of Defeasance and Redemption, part II filing","notice, redemption, notice, defeasance, b, water"
City Home Repair Program Furance Application ( Fillable Form),18,City Home Repair Program Furance Application,"application, program, street, plan, commission, city"
Americans with Disabilities Act (ADA) Curb Ramps Overview,34,This dataset contains overview data for ADA Curb Ramps (sidewalk ramps).,"data, traffic, st, traffic, census, city"
Honorary Street Name Application And Petition,18,Honorary Street Name Application And Petition,"application, program, street, plan, commission, city"
Official Street Name Plan Application,18,Official Street Name Plan Application,"application, program, street, plan, commission, city"
Application To Board Of Zoning Adjustment 2,18,Application To Board Of Zoning Adjustment 2,"application, program, street, plan, commission, city"
Application For Vacation Of ROW,18,Application For Vacation Of ROW,"application, program, street, plan, commission, city"
Smart City Advisory Board Meeting - Project Summary Presentation,25,"Slides presented at the first Smart City Advisory Board Meeting meeting on August 24, 2015. Slides include the kiosk design.","meeting, minutes, agenda, group, public, presentation"
2015 Street List As Of 8 20 2015,3,Current list of streets to be resurfaced in the 2015 resurfacing contract,"downgrade, lists, april, presentation, public, group"
Results 08-11-15,3,Results 08-11-15,"downgrade, lists, april, presentation, public, group"
Standing Rules (effective 08.01.15),3,Standing Rules (effective 08.01.15),"downgrade, lists, april, presentation, public, group"
Section 108 Loan Program Amended Application,18,Amended Section 108 Loan Guarantee application for the Seven Oaks Replacement Housing Project,"application, program, street, plan, commission, city"
Kansas- City- Mo.- Food- Code,33,"Kansas City, Missouri Food Code","city, kansas, kansas, city, kansas, missouri"
Churchs Chicken- Closure-8-13-15 Redacted,16,PDF of food safety inspection closure report from 8-13-15,"reports, assessments, neighborhood, construction, annual, work"
Charlie D's & Sons- Temporary Closure-8-10-15,3,"PDF of Food Safety Inspection Temporary Closure  at Charlie D's & Sons on Aug. 10, 2015. Establishment was reopened for business on Aug.12, 2015.","downgrade, lists, april, presentation, public, group"
Midtown Plaza Area Plan Draft4 Formatted 81415,17,Midtown Plaza Area Plan Draft4 Formatted 81415,"area, area, plan, map, industries, presentation"
Midtown Plaza Area Plan Draft4 81315 - Edit,17,Midtown Plaza Area Plan Draft4 81315 - Edit,"area, area, plan, map, industries, presentation"
Checklist For Cigarette Retailer's Application,18,Cigarette Retailer's Application,"application, program, street, plan, commission, city"
Cigarette License Application,18,Cigarette License Application,"application, program, street, plan, commission, city"
KCMO Climate Action Roadmap - FINAL,6,Consultants' recommendations for actions to take to help in achieving greenhouse gas emissions reduction goals established in the Climate Protection Plan adopted in 2008.,"plan, developer, focus, city, neighborhood, street"
2013 GHG Inventory 5-2015 FINAL,3,2013 update of the greenhouse gas (GHG) inventory of the Climate Protection Plan. Updates the CPP from 2005 to 2013.,"downgrade, lists, april, presentation, public, group"
FY2014-15 Citizen Survey Results Map by Zip Code,19,Citizen Survey results mapped by zip code.  Some zip codes may not have enough responses for statistical significance.,"code, rehabilitation, buildings, developer, results, commission"
FY2014-15 Citizen Survey Results Maps by Council District,3,Citizen Survey results by Council District on a map,"downgrade, lists, april, presentation, public, group"
Citizen Satisfaction Survey Results Report FY 2014-15,3,Final aggregate report on the FY2014-15 Citizen Survey results.,"downgrade, lists, april, presentation, public, group"
Neighborhood Cleanups,3,Neighborhood Cleanups,"downgrade, lists, april, presentation, public, group"
Municipal Farm Sustainable Reuse Plan,30,A conceptual land use and sustainable development for the Municipal Farm properties.  Adopted by City Council December 2012.,"map, use, land, census, developer, plan"
Municipal Farm Briefing for City Manager & Council 8-10-15,3,"Presentation on Municipal Farm and the Sustainable Cities Design Academy.  Includes Vision to implement Sustainable Reuse Plan, Business and Development Opportunities, Community Connections and Next Steps.  (Presentation edited 8-23-15 to include additional introductory slides).","downgrade, lists, april, presentation, public, group"
20150812 2015 Governance Assessment Highlights,0,This audit was conducted in order to determine what governance practices the city's boards and commissions are following.,"audit, audit, focus, city, 's, management"
20150812 2015 Governance Assessment,0,This audit was conducted in order to determine what governance practices the city's boards and commissions are following.,"audit, audit, focus, city, 's, management"
Results 08-04-15,3,Results 08-04-15,"downgrade, lists, april, presentation, public, group"
Aim4Peace Overview 2013,3,Aim4Peace violence prevention program overview 2013,"downgrade, lists, april, presentation, public, group"
Auctionlist,3,Auctionlist,"downgrade, lists, april, presentation, public, group"
Demolished Dangerous Buildings,3,This is a list of buildings that were once on the dangerous buildings list (https://data.kcmo.org/Property/Dangerous-Buildings-List/ax3m-jhxx)  but have been demolished. Once a structure is demolished it is removed from the dangerous buildings list.,"downgrade, lists, april, presentation, public, group"
Citizen Satisfaction Survey Results Previous Years To Present,3,This data set contains citizen satisfaction survey results. The citizen survey is administered on a quarterly basis. See the report by visiting https://data.kcmo.org/dataset/2013-14-Kansas-City-Missouri-Citizen-Satisfaction-/m8hg-mhad.,"downgrade, lists, april, presentation, public, group"
CPCMinutes.05-19-15,3,CPCMinutes.05-19-15,"downgrade, lists, april, presentation, public, group"
CPCMinutes.5-05-15,3,CPCMinutes.5-05-15,"downgrade, lists, april, presentation, public, group"
CID Record 08.04.15,3,CID Record 08.04.15,"downgrade, lists, april, presentation, public, group"
SHAPE Data,34,SHAPE Data,"data, traffic, st, traffic, census, city"
TOD Policy- Design Recommendations- Draft6-30-2015,3,TOD Policy- Design Recommendations- Draft6-30-2015,"downgrade, lists, april, presentation, public, group"
2014 Consolidated Annual Performance and Evaluation Report (CAPER),16,2014 Consolidated Annual Performance and Evaluation Report (CAPER),"reports, assessments, neighborhood, construction, annual, work"
"City's Performance Under the HUD Memorandum of Agreement, May 1, 2014 to April 30, 2015 Scope Statement",0,"Our focus is on whether the city fulfill its obligations under the Memorandum of Agreement between the city and HUD from May 1, 2014 to April 30, 2015.  Also, we'll review whether the city implemented the MOA related recommendations in the City Auditor’s Office’s December 2014 audit report.","audit, audit, focus, city, 's, management"
Results 07-28-15,3,Results 07-28-15,"downgrade, lists, april, presentation, public, group"
Illegal Dumping Statistics,30,Used in the Illegal Dumping and Littering Dashboard,"map, use, land, census, developer, plan"
NTDF- Applicant- Workshop-2015,3,NTDF- Applicant- Workshop-2015,"downgrade, lists, april, presentation, public, group"
Notice Of Full Redemption EA733830- EA575301- EA971172,9,"Notice of Call and Full Redemption on the Special Facility Revenue Bonds (MCI Overhaul Base), Series 2005G","notice, redemption, notice, defeasance, b, water"
2016 CONSOLIDATED ACTION PLAN SCHEDULE,6,2016 CONSOLIDATED ACTION PLAN SCHEDULE,"plan, developer, focus, city, neighborhood, street"
04-28-15 MINUTES,25,04-28-15 MINUTES,"meeting, minutes, agenda, group, public, presentation"
04-14-15 MINUTES,25,04-14-15 MINUTES,"meeting, minutes, agenda, group, public, presentation"
89008121 Pub Mtg Fact Sheet - Englewood,3,89008121 Pub Mtg Fact Sheet - Englewood,"downgrade, lists, april, presentation, public, group"
