title,cluster,description,keywords
Political Engagement - Edmonton Insight Community,2,"This was one single topic among many as part of the July 2014 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=46&t=1. Open from July 08 - 20, 2014. At the time the survey was launched survey invitations were sent to 846 Insight Community Members. 662 members completed the survey which represents a completion rate of 78%. A total of 705 respondents completed the survey: 662 Insight Community Members and 43 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
Photo Radar - Edmonton Insight Community,2,"This was one single topic among many as part of the July 2014 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=46&t=1. Open from July 08 - 20, 2014. At the time the survey was launched survey invitations were sent to 846 Insight Community Members. 662 members completed the survey which represents a completion rate of 78%. A total of 705 respondents completed the survey: 662 Insight Community Members and 43 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
Bike Ridership - Edmonton Insight Community,2,"This was one single topic among many as part of the August 2014 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=76&t=1. Open from Aug 19 - 25, 2014. At the time the survey was launched survey invitations were sent to 1029 Insight Community Members. 646 members completed the survey which represents a completion rate of 63%. A total of 816 respondents completed the survey: 646 Insight Community Members and 170 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
Housing - Edmonton Insight Community,2,"This was one single topic among many as part of the August 2014 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=76&t=1. Open from Aug 19 - 25, 2014. At the time the survey was launched survey invitations were sent to 1029 Insight Community Members. 646 members completed the survey which represents a completion rate of 63%. A total of 816 respondents completed the survey: 646 Insight Community Members and 170 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
School Speed Limit - Edmonton Insight Community,2,"This was one single topic among many as part of the August 2014 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=76&t=1. Open from Aug 19 - 25, 2014. At the time the survey was launched survey invitations were sent to 1029 Insight Community Members. 646 members completed the survey which represents a completion rate of 63%. A total of 816 respondents completed the survey: 646 Insight Community Members and 170 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
Social Media - Edmonton Insight Community,2,"This was one single topic among many as part of the August 2014 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=76&t=1. Open from Aug 19 - 25, 2014. At the time the survey was launched survey invitations were sent to 1029 Insight Community Members. 646 members completed the survey which represents a completion rate of 63%. A total of 816 respondents completed the survey: 646 Insight Community Members and 170 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
Community and City - Edmonton Insight Community,2,"This was one single topic among many as part of the September  2014 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=86&t=1. Open from Sept 08 - 15, 2014. At the time the survey was launched survey invitations were sent to 1291 Insight Community Members. 703 members completed the survey which represents a completion rate of 54%. A total of 919 respondents completed the survey: 703 Insight Community Members and 216 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
Phone Survey - Edmonton Insight Community,2,"This was one single topic among many as part of the September  2014 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=86&t=1. Open from Sept 08 - 15, 2014. At the time the survey was launched survey invitations were sent to 1291 Insight Community Members. 703 members completed the survey which represents a completion rate of 54%. A total of 919 respondents completed the survey: 703 Insight Community Members and 216 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
311 Explorer,12,"311 Explorer is a web-based mapping tool that uses the City’s open data information to search, filter, and display 311 service requests on public property.  You will be able to:

View the various types of service requests on public property that have been generated in a neighborhood, ward or across the city, see the status of service requests, use the map or charts for analysis of neighbourhoods","service, http, //www.edmonton.ca/budgetconsultation, survey, survey, http"
Taxi Usage - Edmonton Insight Community,2,"This was one single topic among many as part of the September  2014 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=86&t=1. Open from Sept 08 - 15, 2014. At the time the survey was launched survey invitations were sent to 1291 Insight Community Members. 703 members completed the survey which represents a completion rate of 54%. A total of 919 respondents completed the survey: 703 Insight Community Members and 216 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
